HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
118,Fort Lauderdale,FL,"2,336",15.2 ,13.7 ,16.9 ,63.6 ,60.4 ,67.0 ,5.0 ,4.8 ,5.3 ,42.1 ,39.4 ,44.9 ,2.4 ,2.3 ,2.6 ,12.8 ,11.4 ,14.4 ,77.7 ,74.1 ,81.3 ,10.0 ,9.6 ,10.5 ,19.3 ,17.6 ,21.2 ,77.2 ,73.6 ,80.9 
119,Fort Myers,FL,"1,325",16.7 ,14.6 ,19.0 ,62.0 ,57.8 ,66.4 ,4.5 ,4.2 ,4.8 ,35.4 ,32.3 ,38.7 ,1.9 ,1.7 ,2.1 ,11.6 ,9.8 ,13.6 ,78.3 ,73.6 ,83.3 ,11.2 ,10.6 ,11.8 ,14.3 ,12.4 ,16.5 ,75.4 ,70.9 ,80.2 
120,Gainesville,FL,532,17.4 ,14.2 ,21.2 ,60.8 ,54.5 ,67.8 ,4.6 ,4.1 ,5.0 ,29.4 ,25.1 ,34.3 ,1.3 ,1.0 ,1.6 ,10.1 ,7.8 ,13.1 ,74.6 ,67.5 ,82.4 ,11.3 ,10.4 ,12.3 ,14.6 ,11.7 ,18.3 ,59.9 ,53.8 ,66.8 
122,Hudson,FL,481,18.1 ,14.6 ,22.4 ,69.1 ,62.0 ,77.1 ,5.3 ,4.7 ,5.8 ,40.6 ,35.2 ,46.8 ,2.3 ,1.9 ,2.6 ,12.5 ,9.6 ,16.2 ,72.3 ,65.1 ,80.3 ,9.4 ,8.4 ,10.4 ,13.4 ,10.5 ,17.2 ,66.0 ,59.2 ,73.6 
123,Jacksonville,FL,"1,123",18.5 ,16.2 ,21.2 ,64.3 ,59.8 ,69.2 ,4.9 ,4.6 ,5.2 ,37.0 ,33.6 ,40.7 ,1.9 ,1.7 ,2.1 ,11.6 ,9.8 ,13.7 ,75.3 ,70.3 ,80.6 ,11.0 ,10.4 ,11.7 ,13.3 ,11.3 ,15.7 ,71.7 ,66.9 ,76.8 
124,Lakeland,FL,256,18.3 ,13.7 ,24.4 ,59.0 ,50.2 ,69.3 ,5.2 ,4.5 ,5.9 ,24.8 ,19.4 ,31.7 ,1.3 ,0.8 ,1.7 ,15.1 ,11.0 ,20.6 ,72.5 ,62.7 ,83.8 ,11.9 ,10.5 ,13.2 ,13.0 ,9.2 ,18.3 ,60.7 ,52.0 ,70.8 
127,Miami,FL,"1,350",24.2 ,21.6 ,27.0 ,67.0 ,62.7 ,71.6 ,5.5 ,5.2 ,5.9 ,51.3 ,47.5 ,55.4 ,3.4 ,3.2 ,3.6 ,14.0 ,12.1 ,16.3 ,65.7 ,61.5 ,70.1 ,8.8 ,8.3 ,9.4 ,14.7 ,12.8 ,17.0 ,73.7 ,69.3 ,78.4 
129,Ocala,FL,892,14.6 ,12.3 ,17.3 ,63.2 ,58.2 ,68.7 ,4.5 ,4.1 ,4.8 ,26.6 ,23.4 ,30.2 ,1.0 ,0.8 ,1.3 ,10.8 ,8.8 ,13.2 ,78.2 ,72.6 ,84.3 ,10.8 ,10.1 ,11.5 ,15.9 ,13.5 ,18.7 ,66.1 ,60.9 ,71.7 
130,Orlando,FL,"3,026",18.6 ,17.1 ,20.3 ,62.7 ,59.9 ,65.6 ,4.9 ,4.7 ,5.1 ,38.7 ,36.5 ,41.1 ,2.1 ,1.9 ,2.2 ,10.5 ,9.3 ,11.7 ,73.7 ,70.6 ,76.9 ,10.7 ,10.3 ,11.1 ,14.9 ,13.5 ,16.4 ,68.2 ,65.3 ,71.3 
131,Ormond Beach,FL,407,12.7 ,9.6 ,16.7 ,54.1 ,47.4 ,61.8 ,3.8 ,3.3 ,4.4 ,33.8 ,28.5 ,39.9 ,1.8 ,1.4 ,2.1 ,11.3 ,8.4 ,15.1 ,75.7 ,67.7 ,84.7 ,12.0 ,10.9 ,13.1 ,14.5 ,11.2 ,18.7 ,64.1 ,56.7 ,72.4 
133,Panama City,FL,189,14.2 ,9.7 ,20.7 ,57.1 ,47.2 ,69.1 ,4.1 ,3.3 ,4.9 ,23.4 ,17.4 ,31.3 ,0.9 ,0.4 ,1.4 ,9.2 ,5.8 ,14.6 ,79.6 ,67.8 ,93.5 ,11.9 ,10.4 ,13.5 ,10.0 ,6.4 ,15.8 ,61.3 ,51.3 ,73.1 
134,Pensacola,FL,739,18.4 ,15.5 ,21.7 ,62.7 ,57.2 ,68.7 ,4.8 ,4.4 ,5.2 ,30.5 ,26.8 ,34.8 ,1.4 ,1.2 ,1.7 ,11.8 ,9.6 ,14.6 ,74.3 ,68.3 ,80.9 ,11.2 ,10.4 ,12.0 ,13.7 ,11.3 ,16.7 ,58.2 ,52.9 ,63.9 
137,Sarasota,FL,582,13.7 ,10.9 ,17.1 ,57.3 ,51.5 ,63.9 ,3.7 ,3.3 ,4.2 ,28.8 ,24.7 ,33.6 ,1.3 ,1.0 ,1.6 ,8.3 ,6.2 ,11.2 ,75.8 ,69.1 ,83.2 ,10.8 ,9.9 ,11.7 ,14.1 ,11.4 ,17.5 ,67.3 ,60.9 ,74.5 
139,St. Petersburg,FL,321,24.7 ,19.8 ,30.9 ,62.0 ,53.9 ,71.2 ,5.4 ,4.7 ,6.0 ,45.6 ,38.7 ,53.7 ,3.2 ,2.8 ,3.5 ,13.2 ,9.7 ,18.0 ,63.9 ,55.8 ,73.3 ,9.3 ,8.1 ,10.5 ,13.2 ,9.7 ,17.9 ,70.3 ,61.6 ,80.2 
140,Tallahassee,FL,481,20.5 ,16.9 ,24.9 ,58.2 ,51.8 ,65.5 ,4.4 ,3.9 ,4.9 ,26.4 ,22.2 ,31.3 ,1.2 ,0.9 ,1.5 ,8.6 ,6.4 ,11.6 ,66.5 ,59.5 ,74.2 ,10.4 ,9.5 ,11.4 ,10.0 ,7.5 ,13.3 ,49.3 ,43.4 ,56.0 
141,Tampa,FL,749,20.5 ,17.4 ,24.0 ,61.9 ,56.4 ,67.8 ,4.9 ,4.5 ,5.3 ,40.0 ,35.7 ,44.8 ,2.2 ,2.0 ,2.5 ,12.5 ,10.2 ,15.4 ,73.0 ,67.1 ,79.4 ,11.0 ,10.2 ,11.8 ,13.3 ,10.9 ,16.2 ,70.4 ,64.7 ,76.7 
142,Albany,GA,133,14.7 ,9.6 ,22.6 ,53.7 ,42.6 ,67.6 ,3.8 ,2.9 ,4.8 ,19.1 ,13.1 ,27.9 ,0.6 ,0.0 ,1.2 ,7.7 ,4.4 ,13.6 ,73.5 ,60.0 ,90.0 ,12.1 ,10.2 ,14.0 ,10.1 ,5.8 ,17.4 ,56.6 ,45.4 ,70.5 
144,Atlanta,GA,"3,116",18.0 ,16.6 ,19.5 ,61.7 ,58.9 ,64.5 ,4.5 ,4.3 ,4.7 ,31.0 ,29.1 ,33.1 ,1.3 ,1.2 ,1.4 ,10.1 ,9.1 ,11.3 ,73.2 ,70.2 ,76.3 ,11.1 ,10.7 ,11.5 ,12.5 ,11.3 ,13.8 ,63.9 ,61.1 ,66.8 
145,Augusta,GA,454,24.9 ,20.7 ,29.8 ,54.7 ,48.4 ,61.9 ,4.5 ,4.0 ,5.1 ,27.9 ,23.5 ,33.2 ,1.4 ,1.1 ,1.7 ,9.8 ,7.4 ,13.1 ,58.7 ,52.0 ,66.3 ,9.4 ,8.4 ,10.5 ,9.0 ,6.5 ,12.3 ,49.9 ,43.7 ,57.0 
146,Columbus,GA,238,17.8 ,13.3 ,23.9 ,55.1 ,46.5 ,65.3 ,4.4 ,3.6 ,5.1 ,18.4 ,13.8 ,24.6 ,0.6 ,0.1 ,1.1 ,13.5 ,9.8 ,18.7 ,77.4 ,66.8 ,89.7 ,12.5 ,11.1 ,13.9 ,10.1 ,6.7 ,15.1 ,50.4 ,42.2 ,60.2 
147,Macon,GA,480,22.1 ,18.3 ,26.7 ,62.7 ,55.9 ,70.3 ,4.6 ,4.1 ,5.1 ,28.1 ,23.8 ,33.3 ,1.3 ,1.0 ,1.6 ,11.4 ,8.8 ,14.7 ,70.2 ,63.0 ,78.2 ,10.6 ,9.6 ,11.6 ,14.0 ,11.0 ,17.9 ,56.4 ,50.2 ,63.4 
148,Rome,GA,223,24.4 ,18.8 ,31.8 ,63.1 ,53.5 ,74.4 ,4.1 ,3.4 ,4.8 ,28.3 ,22.2 ,36.1 ,1.2 ,0.7 ,1.6 ,8.1 ,5.2 ,12.7 ,66.3 ,56.3 ,78.0 ,10.5 ,9.0 ,11.9 ,8.8 ,5.7 ,13.7 ,60.0 ,50.7 ,71.1 
149,Savannah,GA,636,20.0 ,16.9 ,23.8 ,58.2 ,52.5 ,64.4 ,4.3 ,3.8 ,4.7 ,28.7 ,24.8 ,33.1 ,1.5 ,1.2 ,1.8 ,7.6 ,5.8 ,10.0 ,74.4 ,67.9 ,81.5 ,12.0 ,11.1 ,12.8 ,10.3 ,8.0 ,13.1 ,63.2 ,57.3 ,69.8 
150,Honolulu,HI,525,23.0 ,19.2 ,27.5 ,52.6 ,46.8 ,59.2 ,4.8 ,4.3 ,5.2 ,26.9 ,22.8 ,31.8 ,1.2 ,0.9 ,1.5 ,9.1 ,6.8 ,12.2 ,61.7 ,55.4 ,68.8 ,10.5 ,9.6 ,11.5 ,7.8 ,5.8 ,10.6 ,51.8 ,45.8 ,58.5 
151,Boise,ID,366,21.0 ,16.8 ,26.2 ,52.7 ,45.9 ,60.7 ,3.3 ,2.7 ,3.9 ,20.5 ,16.3 ,25.6 ,0.6 ,0.2 ,1.0 ,8.0 ,5.6 ,11.5 ,65.4 ,57.6 ,74.3 ,11.8 ,10.7 ,12.9 ,7.1 ,4.9 ,10.4 ,40.3 ,34.2 ,47.5 
152,Idaho Falls,ID,108,24.5 ,16.8 ,35.8 ,52.9 ,41.0 ,68.2 ,3.0 ,2.0 ,4.1 ,22.0 ,14.8 ,32.9 ,1.0 ,0.3 ,1.6 ,,,,60.7 ,47.7 ,77.3 ,10.1 ,8.0 ,12.2 ,10.7 ,6.1 ,18.8 ,36.7 ,26.7 ,50.4 
154,Aurora,IL,163,17.4 ,12.0 ,25.2 ,60.6 ,49.7 ,73.9 ,4.4 ,3.5 ,5.3 ,31.6 ,24.0 ,41.7 ,1.7 ,1.2 ,2.3 ,14.0 ,9.2 ,21.3 ,71.3 ,59.5 ,85.5 ,10.3 ,8.6 ,12.0 ,17.7 ,12.3 ,25.4 ,65.8 ,54.5 ,79.5 
155,Blue Island,IL,974,22.0 ,19.2 ,25.1 ,69.2 ,64.1 ,74.7 ,5.5 ,5.1 ,5.8 ,44.7 ,40.6 ,49.1 ,2.4 ,2.1 ,2.6 ,12.5 ,10.5 ,14.9 ,65.8 ,60.8 ,71.1 ,8.2 ,7.5 ,8.9 ,15.7 ,13.3 ,18.5 ,67.1 ,62.2 ,72.4 
156,Chicago,IL,"1,748",23.7 ,21.5 ,26.1 ,67.9 ,64.1 ,71.9 ,5.5 ,5.3 ,5.8 ,41.7 ,38.8 ,44.9 ,2.2 ,2.0 ,2.4 ,16.1 ,14.4 ,18.0 ,61.9 ,58.2 ,65.8 ,8.7 ,8.1 ,9.2 ,12.6 ,10.9 ,14.5 ,68.5 ,64.7 ,72.6 
158,Elgin,IL,652,20.3 ,17.1 ,24.2 ,67.1 ,61.0 ,73.8 ,4.9 ,4.5 ,5.3 ,48.3 ,43.2 ,54.0 ,2.5 ,2.3 ,2.8 ,12.5 ,10.1 ,15.6 ,71.5 ,65.3 ,78.3 ,8.8 ,7.9 ,9.6 ,19.5 ,16.4 ,23.3 ,72.6 ,66.3 ,79.4 
161,Evanston,IL,"1,015",19.3 ,16.8 ,22.3 ,59.8 ,55.2 ,64.8 ,4.7 ,4.4 ,5.0 ,29.7 ,26.5 ,33.3 ,1.2 ,1.0 ,1.5 ,10.0 ,8.2 ,12.3 ,69.7 ,64.8 ,75.1 ,9.9 ,9.2 ,10.6 ,14.0 ,11.9 ,16.5 ,77.5 ,72.2 ,83.3 
163,Hinsdale,IL,375,19.1 ,15.0 ,24.2 ,64.7 ,57.0 ,73.5 ,4.6 ,4.0 ,5.2 ,34.5 ,28.9 ,41.1 ,1.7 ,1.3 ,2.0 ,9.3 ,6.6 ,13.1 ,67.0 ,59.2 ,75.7 ,9.3 ,8.1 ,10.4 ,10.5 ,7.7 ,14.4 ,74.2 ,65.9 ,83.5 
164,Joliet,IL,650,21.2 ,17.9 ,25.1 ,65.4 ,59.4 ,72.0 ,5.3 ,4.8 ,5.7 ,43.9 ,39.0 ,49.3 ,2.3 ,2.0 ,2.6 ,11.9 ,9.5 ,14.9 ,68.2 ,62.1 ,74.9 ,9.4 ,8.6 ,10.3 ,14.7 ,12.0 ,18.1 ,71.5 ,65.4 ,78.2 
166,Melrose Park,IL,"1,066",19.4 ,16.8 ,22.3 ,64.6 ,59.9 ,69.7 ,5.2 ,4.9 ,5.6 ,38.0 ,34.3 ,41.9 ,2.0 ,1.8 ,2.2 ,10.6 ,8.8 ,12.9 ,67.6 ,62.8 ,72.7 ,9.3 ,8.6 ,10.0 ,15.3 ,13.1 ,17.8 ,70.2 ,65.3 ,75.5 
170,Peoria,IL,695,23.3 ,19.9 ,27.2 ,63.6 ,58.0 ,69.9 ,4.8 ,4.4 ,5.2 ,31.6 ,27.7 ,36.1 ,1.3 ,1.0 ,1.6 ,9.0 ,7.0 ,11.7 ,56.7 ,51.4 ,62.6 ,8.8 ,7.9 ,9.6 ,7.0 ,5.3 ,9.2 ,53.2 ,48.0 ,59.0 
171,Rockford,IL,707,18.6 ,15.7 ,22.1 ,57.0 ,51.6 ,62.8 ,4.2 ,3.8 ,4.6 ,25.7 ,22.2 ,29.8 ,1.1 ,0.8 ,1.4 ,7.7 ,5.9 ,10.2 ,69.3 ,63.5 ,75.7 ,10.6 ,9.8 ,11.4 ,11.4 ,9.1 ,14.2 ,56.7 ,51.4 ,62.6 
172,Springfield,IL,"1,028",26.3 ,23.3 ,29.6 ,63.0 ,58.3 ,68.1 ,4.7 ,4.4 ,5.1 ,25.5 ,22.5 ,28.7 ,1.0 ,0.8 ,1.2 ,8.4 ,6.8 ,10.4 ,49.4 ,45.3 ,53.9 ,7.7 ,7.0 ,8.4 ,9.1 ,7.4 ,11.1 ,43.1 ,39.2 ,47.4 
173,Urbana,IL,389,26.8 ,22.1 ,32.5 ,64.1 ,56.6 ,72.6 ,4.7 ,4.1 ,5.2 ,28.1 ,23.3 ,33.9 ,1.3 ,0.9 ,1.6 ,9.3 ,6.7 ,12.9 ,52.3 ,45.6 ,60.1 ,7.0 ,5.9 ,8.1 ,10.4 ,7.7 ,14.2 ,54.3 ,47.5 ,62.1 
175,Bloomington,IL,149,29.9 ,22.5 ,39.9 ,62.0 ,50.6 ,75.9 ,3.8 ,2.9 ,4.8 ,27.9 ,20.6 ,37.6 ,1.4 ,0.8 ,2.0 ,7.0 ,3.9 ,12.7 ,49.4 ,39.2 ,62.2 ,8.3 ,6.5 ,10.0 ,,,,53.5 ,43.0 ,66.5 
179,Evansville,IN,633,17.2 ,14.3 ,20.7 ,55.6 ,50.1 ,61.8 ,3.9 ,3.5 ,4.4 ,20.9 ,17.6 ,24.8 ,0.7 ,0.4 ,1.0 ,6.2 ,4.5 ,8.5 ,65.5 ,59.5 ,72.1 ,9.3 ,8.5 ,10.2 ,13.6 ,11.0 ,16.8 ,42.4 ,37.6 ,47.8 
180,Fort Wayne,IN,525,15.1 ,12.1 ,18.8 ,58.1 ,51.9 ,65.0 ,3.5 ,3.1 ,4.0 ,22.1 ,18.4 ,26.5 ,0.6 ,0.3 ,0.9 ,7.0 ,5.0 ,9.7 ,72.6 ,65.7 ,80.3 ,10.9 ,10.0 ,11.9 ,11.1 ,8.6 ,14.3 ,58.9 ,52.6 ,66.0 
181,Gary,IN,666,28.2 ,24.4 ,32.6 ,68.3 ,62.2 ,74.9 ,5.3 ,4.9 ,5.8 ,32.8 ,28.7 ,37.5 ,1.6 ,1.4 ,1.9 ,12.1 ,9.7 ,15.0 ,59.3 ,53.7 ,65.5 ,7.7 ,6.9 ,8.6 ,15.5 ,12.7 ,18.9 ,62.9 ,57.2 ,69.1 
183,Indianapolis,IN,"2,301",23.5 ,21.5 ,25.6 ,60.8 ,57.7 ,64.1 ,4.3 ,4.0 ,4.5 ,28.9 ,26.7 ,31.2 ,1.2 ,1.1 ,1.4 ,9.7 ,8.5 ,11.1 ,59.8 ,56.7 ,63.1 ,9.0 ,8.6 ,9.5 ,9.6 ,8.4 ,11.0 ,54.3 ,51.3 ,57.4 
184,Lafayette,IN,186,25.5 ,19.1 ,34.0 ,59.8 ,49.6 ,72.1 ,4.1 ,3.3 ,4.9 ,39.5 ,31.4 ,49.7 ,1.8 ,1.3 ,2.3 ,,,,56.9 ,47.1 ,68.8 ,9.3 ,7.7 ,10.9 ,9.6 ,6.0 ,15.2 ,66.4 ,55.7 ,79.3 
185,Muncie,IN,164,20.5 ,14.7 ,28.6 ,58.0 ,47.6 ,70.8 ,4.1 ,3.2 ,4.9 ,32.1 ,24.6 ,41.9 ,1.7 ,1.2 ,2.3 ,8.2 ,4.8 ,13.8 ,58.7 ,48.0 ,71.7 ,9.6 ,7.9 ,11.3 ,7.3 ,4.1 ,12.8 ,48.9 ,39.1 ,61.0 
186,Munster,IN,363,27.1 ,22.2 ,33.2 ,67.7 ,59.6 ,77.0 ,5.8 ,5.2 ,6.3 ,38.8 ,32.8 ,45.8 ,2.1 ,1.7 ,2.4 ,12.8 ,9.6 ,17.1 ,61.9 ,54.3 ,70.6 ,7.3 ,6.2 ,8.5 ,12.0 ,8.9 ,16.2 ,64.6 ,57.0 ,73.1 
187,South Bend,IN,560,23.2 ,19.6 ,27.6 ,61.1 ,54.9 ,67.9 ,4.2 ,3.7 ,4.7 ,24.9 ,21.1 ,29.4 ,1.1 ,0.8 ,1.4 ,9.4 ,7.2 ,12.4 ,62.3 ,56.1 ,69.2 ,9.2 ,8.2 ,10.1 ,11.0 ,8.5 ,14.1 ,51.0 ,45.4 ,57.4 
188,Terre Haute,IN,193,24.5 ,18.4 ,32.8 ,68.6 ,57.8 ,81.4 ,5.5 ,4.7 ,6.3 ,37.6 ,29.8 ,47.4 ,1.9 ,1.4 ,2.4 ,13.9 ,9.4 ,20.5 ,56.4 ,46.8 ,68.0 ,7.6 ,6.0 ,9.1 ,11.8 ,7.9 ,17.8 ,57.6 ,47.8 ,69.4 
190,Cedar Rapids,IA,189,14.5 ,10.0 ,21.2 ,51.5 ,42.3 ,62.8 ,3.5 ,2.7 ,4.3 ,20.8 ,15.2 ,28.5 ,0.5 ,,1.0 ,,,,82.9 ,70.9 ,96.9 ,14.4 ,12.9 ,16.0 ,11.8 ,7.8 ,17.8 ,51.9 ,42.4 ,63.6 
191,Davenport,IA,503,17.8 ,14.5 ,21.9 ,60.8 ,54.4 ,68.0 ,4.4 ,3.9 ,4.9 ,23.5 ,19.6 ,28.2 ,0.9 ,0.6 ,1.3 ,9.5 ,7.1 ,12.7 ,69.6 ,62.7 ,77.3 ,10.5 ,9.5 ,11.5 ,14.3 ,11.3 ,18.0 ,52.9 ,46.9 ,59.8 
192,Des Moines,IA,923,18.0 ,15.5 ,21.0 ,58.7 ,54.0 ,63.9 ,4.4 ,4.0 ,4.7 ,19.0 ,16.3 ,22.0 ,0.8 ,0.5 ,1.0 ,6.4 ,4.9 ,8.3 ,73.6 ,68.2 ,79.3 ,11.8 ,11.1 ,12.5 ,11.3 ,9.3 ,13.7 ,51.3 ,46.8 ,56.2 
193,Dubuque,IA,94,15.7 ,9.5 ,26.0 ,47.4 ,35.5 ,63.3 ,3.4 ,2.3 ,4.6 ,14.8 ,8.8 ,25.0 ,0.5 ,,1.2 ,,,,78.3 ,62.3 ,98.3 ,12.4 ,10.2 ,14.6 ,11.2 ,6.2 ,20.3 ,38.4 ,27.5 ,53.8 
194,Iowa City,IA,266,14.6 ,10.6 ,20.1 ,51.2 ,43.2 ,60.5 ,3.6 ,2.9 ,4.3 ,18.3 ,13.8 ,24.3 ,0.7 ,0.3 ,1.1 ,5.3 ,3.1 ,9.1 ,74.3 ,64.6 ,85.3 ,13.6 ,12.3 ,14.9 ,9.6 ,6.5 ,14.1 ,39.3 ,32.4 ,47.7 
195,Mason City,IA,167,15.5 ,10.5 ,23.0 ,54.4 ,44.4 ,66.8 ,2.9 ,2.1 ,3.8 ,20.2 ,14.3 ,28.4 ,0.8 ,0.2 ,1.3 ,,,,79.9 ,67.4 ,94.5 ,11.5 ,9.8 ,13.2 ,20.9 ,15.1 ,29.0 ,50.8 ,40.8 ,63.3 
196,Sioux City,IA,225,16.6 ,12.1 ,22.9 ,53.9 ,45.2 ,64.3 ,4.1 ,3.4 ,4.8 ,18.0 ,13.2 ,24.4 ,0.6 ,0.2 ,1.1 ,7.4 ,4.5 ,12.1 ,75.4 ,64.8 ,87.6 ,11.4 ,10.0 ,12.8 ,16.3 ,11.8 ,22.4 ,41.9 ,34.1 ,51.4 
197,Waterloo,IA,182,15.3 ,10.6 ,22.2 ,50.0 ,40.8 ,61.4 ,3.2 ,2.3 ,4.0 ,16.4 ,11.5 ,23.5 ,0.3 ,,0.9 ,6.9 ,3.9 ,12.1 ,74.7 ,63.1 ,88.3 ,14.1 ,12.5 ,15.7 ,8.1 ,4.9 ,13.4 ,54.1 ,44.3 ,66.1 
200,Topeka,KS,371,18.9 ,15.1 ,23.8 ,54.6 ,47.7 ,62.6 ,3.8 ,3.2 ,4.4 ,23.4 ,19.0 ,28.8 ,0.8 ,0.4 ,1.1 ,10.0 ,7.3 ,13.8 ,65.9 ,58.1 ,74.8 ,11.4 ,10.3 ,12.5 ,6.9 ,4.7 ,10.1 ,51.0 ,44.1 ,58.9 
201,Wichita,KS,"1,120",19.5 ,17.1 ,22.3 ,58.0 ,53.7 ,62.6 ,4.3 ,4.0 ,4.7 ,23.1 ,20.4 ,26.1 ,0.8 ,0.6 ,1.0 ,5.2 ,4.0 ,6.8 ,62.5 ,58.0 ,67.3 ,9.1 ,8.5 ,9.8 ,11.6 ,9.8 ,13.8 ,41.4 ,37.7 ,45.4 
203,Covington,KY,305,15.0 ,11.2 ,20.0 ,67.5 ,58.8 ,77.5 ,5.3 ,4.7 ,5.9 ,40.0 ,33.5 ,47.8 ,2.3 ,1.9 ,2.7 ,9.5 ,6.6 ,13.7 ,75.1 ,65.9 ,85.5 ,10.1 ,8.9 ,11.3 ,14.0 ,10.4 ,18.9 ,67.9 ,59.4 ,77.6 
204,Lexington,KY,"1,336",24.2 ,21.7 ,27.0 ,63.3 ,59.1 ,67.7 ,4.9 ,4.6 ,5.2 ,27.8 ,25.1 ,30.8 ,1.2 ,1.1 ,1.4 ,11.1 ,9.4 ,13.0 ,61.8 ,57.7 ,66.2 ,10.0 ,9.4 ,10.6 ,8.5 ,7.1 ,10.2 ,54.0 ,50.2 ,58.0 
205,Louisville,KY,"1,638",26.8 ,24.3 ,29.4 ,62.0 ,58.3 ,66.0 ,4.7 ,4.5 ,5.0 ,32.5 ,29.8 ,35.4 ,1.7 ,1.5 ,1.9 ,11.0 ,9.5 ,12.7 ,53.9 ,50.4 ,57.6 ,8.6 ,8.1 ,9.2 ,7.8 ,6.6 ,9.3 ,58.0 ,54.5 ,61.9 
207,Owensboro,KY,176,23.3 ,17.1 ,31.6 ,59.9 ,49.4 ,72.5 ,4.3 ,3.5 ,5.2 ,23.0 ,17.0 ,31.3 ,1.1 ,0.5 ,1.6 ,6.4 ,3.6 ,11.6 ,56.4 ,46.3 ,68.6 ,8.7 ,7.1 ,10.3 ,6.7 ,3.8 ,11.8 ,47.3 ,38.1 ,58.6 
208,Paducah,KY,488,25.2 ,21.1 ,30.0 ,63.6 ,56.8 ,71.1 ,4.9 ,4.4 ,5.4 ,26.3 ,22.2 ,31.2 ,1.1 ,0.8 ,1.4 ,7.3 ,5.2 ,10.1 ,53.9 ,47.8 ,60.9 ,7.8 ,6.8 ,8.8 ,9.5 ,7.2 ,12.7 ,50.4 ,44.6 ,57.0 
209,Alexandria,LA,275,25.1 ,19.9 ,31.7 ,57.9 ,49.5 ,67.6 ,4.8 ,4.1 ,5.4 ,21.3 ,16.6 ,27.5 ,0.9 ,0.4 ,1.3 ,11.7 ,8.4 ,16.3 ,68.0 ,58.8 ,78.5 ,12.1 ,10.8 ,13.4 ,10.1 ,6.9 ,14.8 ,48.5 ,41.0 ,57.4 
210,Baton Rouge,LA,451,18.3 ,14.8 ,22.6 ,61.5 ,54.7 ,69.2 ,4.5 ,4.0 ,5.0 ,32.1 ,27.4 ,37.7 ,1.6 ,1.3 ,1.9 ,9.4 ,7.1 ,12.5 ,74.0 ,66.3 ,82.5 ,10.9 ,9.9 ,11.9 ,12.0 ,9.1 ,15.8 ,62.9 ,56.0 ,70.7 
212,Houma,LA,213,22.5 ,17.1 ,29.7 ,66.1 ,56.0 ,78.0 ,5.0 ,4.2 ,5.7 ,29.4 ,23.1 ,37.6 ,1.4 ,0.9 ,1.9 ,10.7 ,7.2 ,15.9 ,65.0 ,54.9 ,76.9 ,9.4 ,7.9 ,10.9 ,11.5 ,7.7 ,17.2 ,44.7 ,36.8 ,54.4 
213,Lafayette,LA,603,24.1 ,20.5 ,28.3 ,61.9 ,55.9 ,68.5 ,4.5 ,4.0 ,4.9 ,24.9 ,21.2 ,29.1 ,0.9 ,0.7 ,1.2 ,9.9 ,7.7 ,12.6 ,65.8 ,59.6 ,72.7 ,9.8 ,9.0 ,10.7 ,10.1 ,7.8 ,13.0 ,50.8 ,45.5 ,56.8 
214,Lake Charles,LA,223,18.4 ,13.6 ,24.9 ,66.3 ,56.4 ,78.0 ,5.4 ,4.7 ,6.1 ,18.1 ,13.3 ,24.6 ,0.6 ,0.1 ,1.0 ,8.3 ,5.4 ,12.9 ,71.4 ,61.0 ,83.5 ,10.1 ,8.7 ,11.6 ,12.9 ,8.9 ,18.7 ,54.1 ,45.4 ,64.5 
216,Metairie,LA,287,23.0 ,18.1 ,29.3 ,59.6 ,51.3 ,69.2 ,4.6 ,3.9 ,5.2 ,29.0 ,23.4 ,36.0 ,1.6 ,1.1 ,2.0 ,10.7 ,7.5 ,15.2 ,63.3 ,54.7 ,73.2 ,10.5 ,9.2 ,11.7 ,7.8 ,5.1 ,11.8 ,61.0 ,52.6 ,70.8 
217,Monroe,LA,264,22.6 ,17.7 ,28.9 ,57.4 ,49.0 ,67.3 ,4.9 ,4.2 ,5.6 ,31.5 ,25.6 ,38.9 ,2.1 ,1.7 ,2.5 ,10.2 ,7.2 ,14.5 ,59.0 ,50.3 ,69.2 ,9.7 ,8.3 ,11.0 ,7.0 ,4.4 ,11.2 ,49.6 ,41.9 ,58.7 
